Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",82.200000,0.600000,0.000000,top
"D1","LED","LED0603-RD",5.500000,-17.500000,270.000000,top
"D2","LED","LED0603-RD",8.500000,17.500000,90.000000,top
"D3","LED","LED0603-RD",29.000000,15.000000,90.000000,top
"D4","LED","LED0603-RD",38.500000,15.000000,90.000000,top
"D5","LED","LED0603-RD",48.000000,15.000000,90.000000,top
"D6","LED","LED0603-RD",57.500000,15.000000,90.000000,top
"D7","LED","LED0603-RD",67.000000,15.000000,90.000000,top
"D8","LED","LED0603-RD",76.500000,15.000000,90.000000,top
"J1","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",87.310000,-12.100000,90.000000,top
"J2","DB9_Female_MountingHoles","DSUB-TH_DMR-9S",0.000000,0.000000,180.000000,top
"J6","Conn_01x04","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",87.300000,-3.800000,90.000000,top
"M1","AW9523BTQR","TQFN-24_L4.0-W4.0-P0.50-TL-EP",86.000000,9.000000,270.000000,top
"R1","4.7K","R_0805_2012Metric",76.700000,-22.200000,0.000000,top
"R2","4.7K","R_0805_2012Metric",86.400000,3.700000,180.000000,top
"R3","4.7K","R_0805_2012Metric",86.400000,1.800000,180.000000,top
"R4","120K_0.1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",39.500000,0.000000,270.000000,top
"R5","140K_0.1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",49.000000,0.000000,270.000000,top
"R6","160K_0.1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",58.500000,0.000000,270.000000,top
"R7","180K_0.1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",68.000000,0.000000,270.000000,top
"R8","100K_0.1%","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",30.000000,0.000000,270.000000,top
