Designator,MidX,MidY,Layer,Rotation
C1,89.2,7.6,top,90
D1,5.5,-17.5,top,270
D2,8.5,17.5,top,90
D3,29,15,top,90
D4,38.5,15,top,90
D5,48,15,top,90
D6,57.5,15,top,90
D7,67,15,top,90
D8,76.5,15,top,90
J1,87.31,-12.1,top,90
J2,0,0,top,180
J6,87.3,-3.8,top,90
M1,86,9,top,270
R1,76.7,-22.2,top,0
R2,86.4,3.7,top,180
R3,86.4,1.8,top,180
R4,39.5,0,top,270
R5,49,0,top,270
R6,58.5,0,top,270
R7,68,0,top,270
R8,30,0,top,270
R9,77.5,0,top,270
R10,7.366,-18.288,top,180
R11,19.25,-16.25,top,90
R12,14.75,-16.25,top,90
R13,10.25,-16.25,top,90
R14,21.75,15.75,top,90
R15,12.75,15.75,top,90
R16,17.25,15.75,top,90
R17,10.25,17.75,top,270
R18,29,17.75,top,270
R19,38.5,17.75,top,270
R20,48,17.8,top,270
R21,57.5,17.75,top,270
R22,67,17.75,top,270
R23,76.2,17,top,0
R24,33.75,12.75,top,180
R25,43.25,12.75,top,180
R26,52.75,12.75,top,180
R27,62.25,12.75,top,180
R28,71.7925,12.6,top,180
R29,80.25,12.5,top,0
R30,26.25,-13.25,top,270
R31,30.75,-13.25,top,270
R32,35.75,-13.1575,top,270
R33,40.25,-13.25,top,270
R34,45.25,-13.25,top,270
R35,49.75,-13.25,top,270
R36,54.75,-13.25,top,270
R37,59.2,-13.25,top,270
R38,64.25,-13.25,top,270
R39,68.75,-13.25,top,270
R40,73.75,-13.25,top,270
R41,78.2,-13.2,top,270
U1,20.5,-10.5,top,270
U2,16,-10.5,top,270
U3,7,-10.5,top,270
U4,11.5,-10.5,top,270
U5,20.5,10.5,top,90
U6,7,10.5,top,90
U7,11.5,10.5,top,90
U8,16,10.5,top,90
U9,27.5,8,top,90
U10,32,8,top,90
U11,37,8,top,90
U12,41.5,8,top,90
U13,46.5,8,top,90
U14,51,8,top,90
U15,56,8,top,90
U16,60.5,8,top,90
U17,65.5,8,top,90
U18,70,8,top,90
U19,75,8,top,90
U20,79.6,8,top,90
U21,27.5,-8,top,270
U22,32,-8,top,270
U23,37,-8,top,270
U24,41.5,-8,top,270
U25,46.5,-8,top,270
U26,51,-8,top,270
U27,56,-8,top,270
U28,60.5,-8,top,270
U29,65.5,-8,top,270
U30,70,-8,top,270
U31,75,-8,top,270
U32,79.5,-8,top,270
