Ref,Val,Package,PosX,PosY,Rot,Side
"J2","DB9_Female","DB9_ASSMANN",-63.575000,-14.180000,270.000000,top
"R1","1K_1%","R0603",-0.025000,-4.800000,270.000000,top
"R2","1K_1%","R0603",-2.565000,-4.800000,270.000000,top
"R3","1K_1%","R0603",-7.645000,-4.800000,270.000000,top
"R4","1K_1%","R0603",-10.185000,-4.800000,270.000000,top
"R5","1K_1%","R0603",-12.725000,-4.800000,270.000000,top
"R6","1K_1%","R0603",-16.000000,-4.350000,180.000000,top
"R7","1K_1%","R0603",-20.320000,-4.870000,270.000000,top
"R8","100K_0.1%","R0603",-2.900000,-16.200000,180.000000,top
"R9","110K_0.1%","R0603",-7.900000,-16.200000,180.000000,top
"R10","120K_0.1%","R0603",-12.900000,-16.200000,180.000000,top
"R11","130K_0.1%","R0603",-17.900000,-16.200000,180.000000,top
"R12","140K_0.1%","R0603",-22.925000,-16.200000,180.000000,top
"R13","150K_0.1%","150K_0.1",-28.120000,-16.060000,180.000000,top
"R14","160K_0.1%","160K_0.1",-33.110000,-16.080000,180.000000,top
"R15","1K_1%","R0603",-23.640000,-4.540000,180.000000,top
"R16","1K_1%","R0603",-25.425000,1.775000,90.000000,top
"R17","180K_0.1%","180K_0.1",-38.750000,-16.210000,180.000000,top
"R18","200K_0.1%","R0603",-17.600000,13.500000,180.000000,top
"R19","1K_1%","R0603",-27.965000,1.775000,90.000000,top
"R20","1K_1%","R0603",-33.045000,1.775000,90.000000,top
"R21","1K_1%","R0603",-35.585000,1.775000,90.000000,top
"R22","1K_1%","R0603",-38.125000,1.775000,90.000000,top
"R23","1K_1%","R0603",-40.665000,1.775000,90.000000,top
"R24","1K_1%","R0603",-45.745000,1.775000,90.000000,top
"R25","1K_1%","R0603",-48.285000,1.775000,90.000000,top
"R26","100K_0.1%","R0603",-21.475000,13.650000,180.000000,top
"R27","110K_0.1%","R0603",-26.442600,13.629000,180.000000,top
"R28","120K_0.1%","R0603",-31.421000,13.629000,180.000000,top
"R29","130K_0.1%","R0603",-36.424800,13.629000,180.000000,top
"R30","140K_0.1%","R0603",-41.479400,13.625000,180.000000,top
"R31","150K_0.1%","150K_0.1",-58.060000,8.950000,270.000000,top
"R32","160K_0.1%","160K_0.1",-55.550000,8.950000,270.000000,top
"R33","1K_1%","R0603",-48.285000,-22.330000,270.000000,top
"R34","1K_1%","R0603",-45.745000,-22.330000,270.000000,top
"R35","180K_0.1%","180K_0.1",-53.490000,-30.460000,270.000000,top
"R36","200K_0.1%","R0603",-46.525000,-33.450000,180.000000,top
"U1","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-0.875000,-11.325000,180.000000,top
"U2","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-5.875000,-11.325000,180.000000,top
"U3","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-10.875000,-11.325000,180.000000,top
"U4","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-15.875000,-11.325000,180.000000,top
"U5","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-20.875000,-11.325000,180.000000,top
"U6","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-25.875000,-10.850000,180.000000,top
"U7","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-30.875000,-10.850000,180.000000,top
"U8","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-35.875000,-10.850000,180.000000,top
"U9","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-17.000000,8.575000,0.000000,top
"U10","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-22.000000,8.575000,0.000000,top
"U11","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-27.000000,8.575000,0.000000,top
"U12","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-32.000000,8.575000,0.000000,top
"U13","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-37.000000,8.575000,0.000000,top
"U14","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-42.000000,8.575000,0.000000,top
"U15","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-47.000000,8.575000,0.000000,top
"U16","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-52.000000,8.575000,0.000000,top
"U17","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-49.525000,-28.300000,180.000000,top
"U18","KAQY212S","SOP-4_L4.4-W4.0-P2.54-LS7.0-BL",-44.525000,-28.300000,180.000000,top
