Comment,Designator,Footprint,LCSC
Conn_Coaxial,J1,Connector:SMA-TH_BWSMA-KE-Z001,C496549
DB9_Female,J2,Connector:DB9_ASSMANN,C75749
Conn_01x20_Female,"J3,J4",Connector_PinSocket_2.54mm:PinSocket_1x20_P2.54mm_Vertical,
Conn_01x16_Female,J5,Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical,
Conn_01x01_Female,J6,Connector_PinSocket_2.54mm:PinSocket_1x01_P2.54mm_Horizontal,
1K_1%,"R1,R2,R3,R4,R5,R6,R7,R15,R16,R19,R20,R21,R22,R23,R24,R25,R33,R34",Resistor_SMD:R0603,C234341
120K_0.1%,"R10,R28",Resistor_SMD:R0603,C136959
130K_0.1%,"R11,R29",Resistor_SMD:R0603,C705808
140K_0.1%,"R12,R30",Resistor_SMD:R0603,C326761
150K_0.1%,"R13,R31",Resistor_SMD:150K_0.1,C413715
160K_0.1%,"R14,R32",Resistor_SMD:160K_0.1,C473318
180K_0.1%,"R17,R35",Resistor_SMD:180K_0.1,C473319
200K_0.1%,"R18,R36",Resistor_SMD:R0603,C394540
100K_0.1%,"R8,R26",Resistor_SMD:R0603,C335088
110K_0.1%,"R9,R27",Resistor_SMD:R0603,C326736
J2,DB9_Female,DB9_ASSMANN,-63.575000,-14.180000,270.000000,top
KAQY212S,"U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18",Connector:SOP-4_L4.4-W4.0-P2.54-LS7.0-BL,C194898
